policy_id,category,dob,gender,smoker_status,sum_assured,sum_assured_type,policy_term,premium_payment_option,ppt,distribution_channel,single_premium,yearly_premium,scraped_date,source,notes
878,term_assurance,15/01/2008,male,non_smoker,5000000,level,15,limited_ppt_10,10,online,,3350,2026-08-11,LIC live online quote calculator,age 18 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/2008,male,non_smoker,5000000,level,20,limited_ppt_10,10,online,,4050,2026-08-11,LIC live online quote calculator,age 18 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention);matches 2026-08-10 spot-check exactly
878,term_assurance,15/01/2008,male,non_smoker,5000000,level,25,limited_ppt_10,10,online,,4700,2026-08-11,LIC live online quote calculator,age 18 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention);matches 2026-08-10 spot-check exactly
878,term_assurance,15/01/2008,male,non_smoker,5000000,level,30,limited_ppt_10,10,online,,5350,2026-08-11,LIC live online quote calculator,age 18 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/2001,male,non_smoker,5000000,level,15,limited_ppt_10,10,online,,3500,2026-08-11,LIC live online quote calculator,age 25 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/2001,male,non_smoker,5000000,level,20,limited_ppt_10,10,online,,4350,2026-08-11,LIC live online quote calculator,age 25 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/2001,male,non_smoker,5000000,level,25,limited_ppt_10,10,online,,5250,2026-08-11,LIC live online quote calculator,age 25 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/2001,male,non_smoker,5000000,level,30,limited_ppt_10,10,online,,6200,2026-08-11,LIC live online quote calculator,age 25 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1996,male,non_smoker,5000000,level,15,limited_ppt_10,10,online,,3900,2026-08-11,LIC live online quote calculator,age 30 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1996,male,non_smoker,5000000,level,20,limited_ppt_10,10,online,,4950,2026-08-11,LIC live online quote calculator,age 30 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention);matches 2026-08-10 spot-check exactly
878,term_assurance,15/01/1996,male,non_smoker,5000000,level,25,limited_ppt_10,10,online,,6250,2026-08-11,LIC live online quote calculator,age 30 confirmed via dob;matches brochure sample exactly (age30/term25/PPT10/online=6250);interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention);matches 2026-08-10 spot-check exactly
878,term_assurance,15/01/1996,male,non_smoker,5000000,level,30,limited_ppt_10,10,online,,7750,2026-08-11,LIC live online quote calculator,age 30 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1991,male,non_smoker,5000000,level,15,limited_ppt_10,10,online,,4700,2026-08-11,LIC live online quote calculator,age 35 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1991,male,non_smoker,5000000,level,20,limited_ppt_10,10,online,,6300,2026-08-11,LIC live online quote calculator,age 35 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1991,male,non_smoker,5000000,level,25,limited_ppt_10,10,online,,8300,2026-08-11,LIC live online quote calculator,age 35 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1991,male,non_smoker,5000000,level,30,limited_ppt_10,10,online,,10550,2026-08-11,LIC live online quote calculator,age 35 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1986,male,non_smoker,5000000,level,15,limited_ppt_10,10,online,,6300,2026-08-11,LIC live online quote calculator,age 40 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1986,male,non_smoker,5000000,level,20,limited_ppt_10,10,online,,8900,2026-08-11,LIC live online quote calculator,age 40 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1986,male,non_smoker,5000000,level,25,limited_ppt_10,10,online,,11900,2026-08-11,LIC live online quote calculator,age 40 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1986,male,non_smoker,5000000,level,30,limited_ppt_10,10,online,,15250,2026-08-11,LIC live online quote calculator,age 40 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1981,male,non_smoker,5000000,level,15,limited_ppt_10,10,online,,9500,2026-08-11,LIC live online quote calculator,age 45 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
878,term_assurance,15/01/1981,male,non_smoker,5000000,level,20,limited_ppt_10,10,online,,13450,2026-08-11,LIC live online quote calculator,age 45 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention);matches 2026-08-10 spot-check exactly
878,term_assurance,15/01/1981,male,non_smoker,5000000,level,25,limited_ppt_10,10,online,,17800,2026-08-11,LIC live online quote calculator,age 45 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention);matches 2026-08-10 spot-check exactly
878,term_assurance,15/01/1981,male,non_smoker,5000000,level,30,limited_ppt_10,10,online,,22600,2026-08-11,LIC live online quote calculator,age 45 confirmed via dob;credit_life plan - no Regular option - Limited Premium PPT=10 used;interest_rate_loan_pct=8 (matches brochure sample-illustrative-premium convention)
