policy_id,category,dob,gender,smoker_status,sum_assured,sum_assured_type,policy_term,premium_payment_option,ppt,distribution_channel,single_premium,yearly_premium,scraped_date,source,notes
859,term_assurance,15/01/2008,male,non_smoker,500000,level,5,regular,5,offline,,1810,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2008,male,non_smoker,500000,level,10,regular,10,offline,,1630,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2008,male,non_smoker,500000,level,15,regular,15,offline,,1615,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2008,male,non_smoker,500000,level,20,regular,20,offline,,1655,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2008,male,non_smoker,500000,level,25,regular,25,offline,,1740,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2008,male,non_smoker,500000,level,30,regular,30,offline,,1855,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2008,male,non_smoker,500000,level,35,regular,35,offline,,2015,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2008,male,non_smoker,500000,level,40,regular,40,offline,,2210,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2001,male,non_smoker,500000,level,5,regular,5,offline,,1830,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2001,male,non_smoker,500000,level,10,regular,10,offline,,1670,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2001,male,non_smoker,500000,level,15,regular,15,offline,,1705,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2001,male,non_smoker,500000,level,20,regular,20,offline,,1810,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2001,male,non_smoker,500000,level,25,regular,25,offline,,1975,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2001,male,non_smoker,500000,level,30,regular,30,offline,,2210,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/2001,male,non_smoker,500000,level,35,regular,35,offline,,2490,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
